name,volume_direct_indirect_22_24,percent_direct_indirect_22_24
Yemen,1642.703152,0.197806354
Ukraine,1369.013946,0.113468423
Syria,866.0915574,0.094072359
Lebanon,593.3203342,0.134876396
Afghanistan,481.6333975,0.053235122
Somalia,462.4422927,0.088350871
Palestine,445.8496905,0.062215141
DRC,382.9389037,0.096955778
Ethiopia,374.8413887,0.062019455
Türkiye,345.7594864,0.100999408
Sudan,320.8727114,0.060905696
Bangladesh,285.9594931,0.121367408
Pakistan,240.7421016,0.185906446
Jordan,169.474701,0.097286468
Colombia,172.6712446,0.11304855
South Sudan,166.8372628,0.035401942
Chad,174.2785545,0.090376518
Burkina Faso,150.8563557,0.099051489
Kenya,132.1201559,0.090899698
Nigeria,118.9356412,0.04874482
