intermediary,recipient_type,q25,median,q75,,,,
CBPF,NGOs: National,313869.5,476811,681802.5,,,,
CBPF,NGOs: International,373825,582252,831119,,,,
UNICEF,NGOs: National,16189,51195,149747,,,,
UNICEF,NGOs: International,32331,114111,296310,,,,
UNHCR,NGOs: National,60020.75,197723,571989,,,,
UNHCR,NGOs: International,220860.25,564051.5,1293867.75,,,,
WFP,NGOs: National,48357.25,120861,302349.5,,,,
WFP,NGOs: International,76453.75,180963,407797.25,,,,
IOM,NGOs: National,18071,54395,130500,,,,
IOM,NGOs: International,44871.5,114658.5,251354,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
