year,category,direct,direct_indirect
2016,Afghanistan,0.158704841,0.215706391
2017,Afghanistan,0.179071472,0.2375773
2018,Afghanistan,0.150832944,0.201936457
2019,Afghanistan,0.053262998,0.106195837
2020,Afghanistan,0.082585791,0.155928415
2021,Afghanistan,0.180485969,0.223517097
2022,Afghanistan,0.216382659,0.247753839
2023,Afghanistan,0.187100241,0.20889908
2024,Afghanistan,0.266133693,0.284049258
2025,Afghanistan,0.355385171,0.382675712
2016,CAR,0.126512278,0.126512278
2017,CAR,0.041838187,0.041838187
2018,CAR,0.059242783,0.059653696
2019,CAR,0.087642413,0.087642413
2020,CAR,0.104802034,0.112926472
2021,CAR,0.041633987,0.052784198
2022,CAR,0.069074992,0.097580444
2023,CAR,0.202463514,0.256798801
2024,CAR,0.300537625,0.329114833
2025,CAR,0.345070422,0.45559183
2016,Colombia,0.447175665,0.558248231
2017,Colombia,0.616335321,0.616335321
2016,DRC,0.207396462,0.210473124
2017,DRC,0.383101019,0.384206286
2018,DRC,0.350901948,0.391640998
2019,DRC,0.234307562,0.241458763
2020,DRC,0.292431179,0.335420674
2021,DRC,0.334781973,0.397607501
2022,DRC,0.464287372,0.544979937
2023,DRC,0.528285158,0.619713638
2024,DRC,0.545945947,0.647719162
2025,DRC,0.620761668,0.685636894
2016,Ethiopia,0,0.015678532
2017,Ethiopia,0.019069824,0.053144306
2018,Ethiopia,0.032184651,0.058709407
2019,Ethiopia,0.044000665,0.075399215
2020,Ethiopia,0.062998634,0.133779563
2021,Ethiopia,0.122620772,0.203617628
2022,Ethiopia,0.199508644,0.389224316
2023,Ethiopia,0.299258708,0.473535679
2024,Ethiopia,0.396192887,0.488682973
2025,Ethiopia,0.730656219,0.805100607
2016,Iraq,0.097555686,0.14977648
2017,Iraq,0.090863716,0.151563923
2018,Iraq,0.086247771,0.109264289
2019,Iraq,0.046267816,0.182213665
2020,Iraq,0.030253967,0.219329258
2021,Iraq,0.073564164,0.359981073
2022,Iraq,0.029811294,0.396296247
2016,Jordan,0.238947837,0.260592504
2017,Jordan,0.216380668,0.330397416
2018,Jordan,0.262593847,0.317939329
2019,Jordan,0.210481445,0.286392244
2020,Jordan,0.337983011,0.404313887
2021,Jordan,0.148309754,0.186041683
2022,Jordan,0,0.038816873
2016,Lebanon,0.168990606,0.194438891
2017,Lebanon,0.491610243,0.523516133
2018,Lebanon,0.36575072,0.395147241
2019,Lebanon,0.235699655,0.256269233
2020,Lebanon,0.354279164,0.362339629
2021,Lebanon,0.182374707,0.256630454
2022,Lebanon,0.21150479,0.277561521
2023,Lebanon,0.384935698,0.508607972
2024,Lebanon,0.383741485,0.422572813
2025,Lebanon,0.435719468,0.438502351
2016,Myanmar,0.386888008,0.445202312
2017,Myanmar,0.234901627,0.401274482
2018,Myanmar,0.297377116,0.450629771
2019,Myanmar,0.268232477,0.498472744
2020,Myanmar,0.284145286,0.42643413
2021,Myanmar,0.319380394,0.508730931
2022,Myanmar,0.305461066,0.605404583
2023,Myanmar,0.246579117,0.569253628
2024,Myanmar,0.280658331,0.662542227
2025,Myanmar,0.540821097,0.773752328
2017,Nigeria,0.048980773,0.091776294
2018,Nigeria,0.082994644,0.100075451
2019,Nigeria,0.132713256,0.16977263
2020,Nigeria,0.172257171,0.213932219
2021,Nigeria,0.267961566,0.372038303
2022,Nigeria,0.363793166,0.416435641
2023,Nigeria,0.545168893,0.599515127
2024,Nigeria,0.377946726,0.474504539
2025,Nigeria,0.692285373,0.719990743
2016,Pakistan,0.734677815,0.775029345
2017,Pakistan,0.817746228,0.817746228
2018,Pakistan,0.704068904,0.704068904
2019,Pakistan,0.371287538,0.434212552
2020,Pakistan,0.733399102,0.777255677
2021,Pakistan,0.675313036,0.675313036
2025,RHPF-AP,0.926505923,0.949850092
2025,RHPF-ESA,0.949476747,0.949476747
2024,RHPF-LCA,0.694359241,0.753921926
2025,RHPF-LCA,0.118513074,0.211004652
2021,RHPF-WCA,0.154842851,0.232998173
2022,RHPF-WCA,0.196709359,0.323354693
2023,RHPF-WCA,0.2647952,0.371515045
2024,RHPF-WCA,0.299281375,0.41636819
2025,RHPF-WCA,0.30763751,0.471143287
2016,Somalia,0.149378882,0.181647009
2017,Somalia,0.376416556,0.383864661
2018,Somalia,0.468730108,0.468730108
2019,Somalia,0.453318512,0.453869652
2020,Somalia,0.538920601,0.542908692
2021,Somalia,0.624207766,0.624207766
2022,Somalia,0.605733683,0.607939841
2023,Somalia,0.693956871,0.693956871
2024,Somalia,0.781402195,0.781402195
2025,Somalia,0.783935963,0.783935963
2016,South Sudan,0.12049236,0.135855369
2017,South Sudan,0.225246243,0.226884894
2018,South Sudan,0.38120943,0.38120943
2019,South Sudan,0.382588532,0.384927431
2020,South Sudan,0.25530761,0.330894263
2021,South Sudan,0.160948863,0.225268857
2022,South Sudan,0.118224334,0.172917143
2023,South Sudan,0.091005995,0.101924752
2024,South Sudan,0.303284301,0.329869728
2025,South Sudan,0.445284788,0.4556482
2016,Sudan,0.255281177,0.318409002
2017,Sudan,0.100247612,0.204153524
2018,Sudan,0.063263537,0.171272384
2019,Sudan,0.069598647,0.132017835
2020,Sudan,0.093942695,0.119170751
2021,Sudan,0.144819865,0.184600445
2022,Sudan,0.118727908,0.170669116
2023,Sudan,0.044950291,0.15192736
2024,Sudan,0.007697811,0.202633262
2025,Sudan,0.037784961,0.220297865
2016,Syria,0.290371331,0.325041673
2017,Syria,0.139879158,0.23440484
2018,Syria,0.071215313,0.188255498
2019,Syria,0.233624949,0.398051597
2020,Syria,0.168789863,0.224479724
2021,Syria,0.194090729,0.22870116
2022,Syria,0.135470856,0.163568984
2023,Syria,0.193578433,0.249543842
2024,Syria,0.237281063,0.266214695
2025,Syria,0.250452577,0.306381344
2016,Syria Cross border,0.33121899,0.437216729
2017,Syria Cross border,0.422323117,0.562926969
2018,Syria Cross border,0.514699097,0.591947318
2019,Syria Cross border,0.578801413,0.665541998
2020,Syria Cross border,0.557575233,0.68654056
2021,Syria Cross border,0.492328215,0.650828335
2022,Syria Cross border,0.420686703,0.596283243
2023,Syria Cross border,0.550457274,0.646149708
2024,Syria Cross border,0.62637033,0.696082851
2025,Syria Cross border,0.747553565,0.772211662
2019,Ukraine,0.452828013,0.467341772
2020,Ukraine,0.265505203,0.389360899
2021,Ukraine,0.386296219,0.490377191
2022,Ukraine,0.232469093,0.342802826
2023,Ukraine,0.20841996,0.325039981
2024,Ukraine,0.44984839,0.579429464
2025,Ukraine,0.583841921,0.689696884
2021,Venezuela,0.62117387,0.687569699
2022,Venezuela,0.661899281,0.728272044
2023,Venezuela,0.720491299,0.823221736
2024,Venezuela,0.614251052,0.705179907
2025,Venezuela,0.793653782,0.867665362
2016,Yemen,0.176411733,0.241966129
2017,Yemen,0.408101319,0.454499001
2018,Yemen,0.262093257,0.27569503
2019,Yemen,0.247574898,0.308806578
2020,Yemen,0.129391442,0.163572537
2021,Yemen,0.240651319,0.263821262
2022,Yemen,0.42341353,0.445705782
2023,Yemen,0.441883161,0.462805758
2024,Yemen,0.701534961,0.70738977
2025,Yemen,0.591297331,0.60848138
2016,oPt,0.159078487,0.267905386
2017,oPt,0.309807355,0.357001631
2018,oPt,0.271261341,0.358031286
2019,oPt,0.273451253,0.396676647
2020,oPt,0.190455791,0.309161135
2021,oPt,0.219541034,0.327114249
2022,oPt,0.278553648,0.397384825
2023,oPt,0.124496044,0.247283349
2024,oPt,0.303820462,0.384743127
2025,oPt,0.422531162,0.508208134
